Timestamp,Age,Gender,How many hobbies have you picked up during quarantine/peak of COVID?,What were the hobby/ies you did during quarantine/peak of COVID?,How much did you rely on your hobby/ies as a coping mechanism for the quarantine?,Are you still continuing the hobbies as of now?,"Among the hobbies you have picked up during quarantine/peak of COVID, how many of them are you still continuing?",Which one/s are you still continuing?,If you have discontinued your hobby/ies what was the reason? (you can choose more than one)
13/04/2021 07:31:35,17-23,Male,2,"Cooking/baking, Learning Japanese",3,Yes,2,"Cooking/baking, Learning Japanese",
13/04/2021 08:31:57,17-23,Female,1,"Sports/exercise, Cooking/baking",4,No,0,,"Not enough time, Was not suitable for me/became bored"
13/04/2021 09:49:34,17-23,Female,0,"Literature, Music, Sports/exercise, Video games, Movies/TV shows",0,Yes,more than 3,"Literature, Sports/exercise, Video games",Not enough time
13/04/2021 14:32:02,17-23,Female,more than 3,"Literature, Music, Sports/exercise, Arts, Video games, Movies/TV shows",4,Yes,more than 3,"Music, Sports/exercise, Video games, Movies/TV shows","Not enough time, Bored"
13/04/2021 18:01:32,17-23,Male,2,"Sports/exercise, Movies/TV shows",3,Yes,1,Movies/TV shows,Lack of motivation
13/04/2021 18:28:10,17-23,Female,3,"Music, Arts, Video games, Movies/TV shows",2,Yes,2,"Music, Movies/TV shows",Not enough time
13/04/2021 19:16:34,17-23,Male,3,"Literature, Sports/exercise, Arts, Video games, Cooking/baking, Movies/TV shows",3,Yes,3,"Literature, Sports/exercise, Arts, Video games, Cooking/baking, Movies/TV shows","Not enough time, Was not suitable for me/became bored"
13/04/2021 19:39:21,17-23,Male,0,"Music, Sports/exercise, Video games, Movies/TV shows",5,Yes,0,,
13/04/2021 19:40:04,17-23,Male,more than 3,"Music, Sports/exercise, Video games, Cooking/baking",4,Yes,3,"Music, Sports/exercise, Video games",Was not suitable for me/became bored
13/04/2021 20:12:09,17-23,Female,3,"Music, Arts, Video games, Movies/TV shows",2,Yes,2,"Music, Movies/TV shows",Not enough time
13/04/2021 20:12:09,17-23,Female,more than 3,"Sports/exercise, Video games, Cooking/baking, Movies/TV shows",4,Yes,2,"Cooking/baking, Movies/TV shows",Not enough time
14/04/2021 17:36:03,17-23,Male,3,"Music, Video games, Movies/TV shows",5,Yes,2,"Video games, Movies/TV shows",Not enough time
14/04/2021 18:00:11,17-23,Male,2,"Cooking/baking, Movies/TV shows",3,Yes,2,"Cooking/baking, Movies/TV shows",
14/04/2021 18:09:29,17-23,Female,2,"Music, Movies/TV shows",4,Yes,2,"Music, Movies/TV shows",Not enough time
14/04/2021 18:22:17,17-23,Female,2,"Music, Sports/exercise",2,Yes,2,"Music, Sports/exercise",Not enough time
14/04/2021 18:48:32,17-23,Male,more than 3,"Music, Video games, Movies/TV shows",1,Yes,more than 3,"Music, Video games, Movies/TV shows",Not enough time
14/04/2021 19:21:50,17-23,Male,3,"Music, Sports/exercise, Movies/TV shows",5,Yes,3,"Music, Sports/exercise, Movies/TV shows",Not enough time